particle,track_length,n_disp,D_alpha,D_alpha_stderr,sigma,sigma_stderr,alpha,alpha_stderr,true_D_um2_s_alpha,true_alpha
135,200,199,0.05392922808959723,0.007017993894861806,0.04037819162665604,0.002535523527479322,1.1259148690928622,0.04471381108398276,0.05,0.9
234,200,199,0.04491080049910577,0.004429652940633626,0.02263497145312686,0.002334555205033874,1.0023222632927689,0.02773966783218096,0.05,1.0
154,200,199,0.10236934081984281,0.011429677747794048,0.03525030194719721,0.002482535218149666,1.1912159629261942,0.03204913192469461,0.05,0.9
279,200,199,0.03603688740500026,0.00374603961708439,0.02589083524902553,0.0018299224552183174,1.138662596662426,0.037733491492715654,0.05,1.2
313,200,199,0.05231470679885673,0.007933918423970624,0.02674620682657502,0.0013954720591952165,1.5229619775147945,0.04260980703764805,0.05,1.5
371,200,199,0.037953574091551597,0.00604971137102784,0.022818106420264182,0.0009927566937922884,1.6815997199996686,0.044214513446963144,0.05,1.8
127,200,199,0.07519461010302395,0.008049244775029371,0.03656153315162824,0.003091555173702132,1.0766281201828745,0.036034232661448895,0.05,0.9
390,200,199,0.03735235091573616,0.006155113290556839,0.02442421667959973,0.0011749122879798762,1.7365560728054885,0.038581008132443695,0.05,1.8
25,200,199,0.039510729442884425,0.006154375165547586,0.0842638450064856,0.005268164073602179,0.606409315338951,0.05382733030013592,0.05,0.5
217,200,199,0.04958363616697205,0.00515708471117143,0.02948319991087047,0.002489770633874464,1.0594579994046753,0.03312677830766897,0.05,1.0
389,200,199,0.08528744827770997,0.017290510542441365,0.024591002206069558,0.001084730491833618,1.8336669760262148,0.026000480789409752,0.05,1.8
130,200,199,0.061393392548793314,0.006829553970018935,0.03407774547506713,0.0025875383359314184,1.081243058442044,0.03995961282928007,0.05,0.9
385,200,199,0.031537149686364285,0.006160339436475025,0.025998270888360202,0.0010068638142751943,1.690072562957981,0.04917345836391307,0.05,1.8
353,200,199,0.04166899098366104,0.006277997571673067,0.026311200986572116,0.0014322732664392782,1.4874187978527666,0.05289376529970602,0.05,1.5
298,200,199,0.046773874802902835,0.004762651427093957,0.022717099217202195,0.001976134015594426,1.1499884850549564,0.029043888532111817,0.05,1.2
15,200,199,0.05052642663013997,0.0071595482341344704,0.0780632081360369,0.004873844460583379,0.7598143211595147,0.05395336656682048,0.05,0.5
161,200,199,0.08156567158464814,0.006506360789359122,0.027598577223249723,0.0030311321776678377,1.0491361746484673,0.02737806395966169,0.05,0.9
149,200,199,0.05408186876899324,0.0046834681412537375,0.02800708605475337,0.0028073817952909627,0.9782086949231923,0.02962385084809699,0.05,0.9
221,200,199,0.051415172198861075,0.0054477361747341,0.032703838470000426,0.0024440798079159633,1.031099324566626,0.03489946814506811,0.05,1.0
71,200,199,0.059968770288627245,0.005367457906070065,0.04770866497663441,0.003666256493209473,0.8762241613691774,0.03276135971971372,0.05,0.7
101,200,199,0.05176648762957982,0.005974455773009216,0.04805867877709832,0.003294007978889537,0.9287334736919387,0.04130816028115347,0.05,0.7
7,200,199,0.05609525818351201,0.005890823771440425,0.060064556978535105,0.004735184923802798,0.6242641650274204,0.03184359999766906,0.05,0.5
14,200,199,0.05214383985138396,0.004840857406878157,0.052553513152799616,0.0051183354303774575,0.5672644478255755,0.027341288080456105,0.05,0.5
99,200,199,0.045851398719268646,0.004170884695810034,0.03923437877441517,0.003063675866034201,0.8317078286757041,0.034294488627600594,0.05,0.7
227,200,199,0.08405097029086175,0.011128593810097356,0.03708705642037429,0.0021260333299376946,1.2987299713141256,0.039604487860978255,0.05,1.0
179,200,199,0.0633883044533693,0.005127705675200527,0.02838469540906217,0.0032781527813826317,0.973455019817292,0.027379309457309986,0.05,0.9
175,200,199,0.05006163354221165,0.0070928597090769464,0.04191438383684572,0.002387173094515138,1.1319760652588282,0.05022820229225655,0.05,0.9
168,200,199,0.03938436230162525,0.004063358639999959,0.026841640897452265,0.0032111539758371034,0.8848416521004904,0.031039628813306686,0.05,0.9
64,200,199,0.04849759405125525,0.005682270217100993,0.045750992873190045,0.0036531889376461915,0.8792619769938665,0.03837049385092117,0.05,0.7
199,200,199,0.03043153007032472,0.0027213209263493507,0.0237463085905759,0.00286192217773539,0.8464258689092592,0.024392223080605735,0.05,1.0
177,200,199,0.0761830026420841,0.009452887751860914,0.04396215648996303,0.002726482884682257,1.1666251903627363,0.043043913589026706,0.05,0.9
294,200,199,0.05514672450281076,0.0055064833467325,0.025122642934892688,0.0019572221233856973,1.197651741678543,0.033359162225018446,0.05,1.2
374,200,199,0.03445009005715622,0.005619398577430478,0.024353590985927626,0.001127214067458783,1.668824161712387,0.043502017473952326,0.05,1.8
408,200,199,0.02112679218454344,0.004309939449097543,0.02448914715872117,0.0011762744318572962,1.6645991572654553,0.048381223131343076,0.05,1.8
31,200,199,0.04374477798318275,0.005198680379042,0.06190862205643603,0.004616740644543541,0.5610285458740056,0.03665381851418609,0.05,0.5
83,200,199,0.04736856286461752,0.003843991980251534,0.025884730669411986,0.0049534779039865345,0.7040989043102338,0.02555594647734255,0.05,0.7
