track_id,t,x,y
7985,23,345.5558166503906,732.1759033203125
7986,23,664.5821533203125,733.5585327148438
7987,23,918.05419921875,736.9906005859375
7988,23,552.0678100585938,746.2125244140625
7989,23,914.9412231445312,748.5996704101562
7990,23,815.0993041992188,749.1300048828125
7991,23,296.7882385253906,752.781005859375
7992,23,473.2720947265625,753.7318725585938
7993,23,377.44293212890625,764.5343017578125
7994,23,988.4848022460938,788.7540893554688
7995,23,939.542724609375,804.9127807617188
7996,23,916.85498046875,807.3592529296875
7997,23,383.52252197265625,816.8712158203125
7998,23,549.8814697265625,833.5534057617188
7999,23,934.9131469726562,843.1826782226562
8000,23,992.0609741210938,844.3732299804688
8001,23,798.846435546875,848.1323852539062
8002,23,857.9978637695312,861.6764526367188
8003,23,968.9224243164062,862.8923950195312
8004,23,529.0626831054688,865.9971313476562
8005,23,1030.2757568359375,895.0061645507812
8006,23,1016.3883056640625,909.4437866210938
8007,23,879.9685668945312,921.316162109375
8008,23,492.6566467285156,932.06591796875
8009,23,546.0350952148438,940.7196044921875
8010,23,629.4012451171875,951.4510498046875
8011,23,441.1730651855469,953.0813598632812
8012,23,571.3333129882812,960.3272094726562
8013,23,906.8062133789062,972.1686401367188
8014,23,1030.5419921875,983.82275390625
8015,23,552.6129760742188,998.397705078125
8016,23,532.15576171875,1030.40771484375
8017,23,901.263427734375,1033.266357421875
8018,23,518.7880249023438,1041.9708251953125
8019,23,567.34228515625,1047.1998291015625
8020,23,605.4500732421875,1049.8792724609375
8021,23,1052.782958984375,1051.9674072265625
8022,23,521.1901245117188,1052.7166748046875
8023,23,257.3258056640625,1057.0042724609375
8024,23,580.0906372070312,1072.0250244140625
8025,23,1021.1436767578125,1106.9598388671875
8026,23,919.3592529296875,1115.8668212890625
8027,23,1042.5113525390625,1118.6988525390625
8028,23,890.5177001953125,1125.8399658203125
8029,23,912.6062622070312,1130.4486083984375
8030,23,599.262939453125,1144.7894287109375
8031,23,899.6774291992188,1146.595947265625
8032,23,832.2379150390625,1160.0225830078125
8033,23,1032.2978515625,1167.209716796875
8034,23,1033.029052734375,1178.362060546875
8035,23,858.5942993164062,1199.983642578125
8036,23,981.8685913085938,1207.111328125
8037,23,603.6702880859375,1218.634033203125
8038,23,580.8980102539062,1236.01953125
8039,23,1024.9345703125,1243.6485595703125
8040,23,859.2182006835938,1244.5386962890625
8041,23,823.4921264648438,1247.3399658203125
8042,23,951.190673828125,1249.107177734375
8043,23,919.3384399414062,1259.2591552734375
8044,23,994.5836181640625,1303.0177001953125
8045,23,152.9341583251953,1322.1114501953125
8046,23,859.8328247070312,1322.817626953125
8047,23,747.8859252929688,1328.44482421875
8048,23,886.448974609375,1364.2716064453125
8049,23,891.9564819335938,1372.3785400390625
8050,23,899.7587890625,1487.065185546875
8051,23,626.5250854492188,1512.1202392578125
8052,24,271.2030029296875,26.708158493041992
8053,24,76.96587371826172,96.7079086303711
8054,24,378.9233703613281,115.40744018554688
8055,24,216.35765075683594,117.30754852294922
8056,24,118.98870849609375,130.17205810546875
8057,24,19.148860931396484,137.05380249023438
8058,24,38.56991958618164,136.36428833007812
8059,24,282.99462890625,155.7578887939453
8060,24,378.1845397949219,159.83782958984375
8061,24,434.0521545410156,175.98974609375
8062,24,624.3029174804688,174.87307739257812
8063,24,561.5576782226562,189.36328125
8064,24,531.2599487304688,209.02854919433594
8065,24,571.5010375976562,209.00668334960938
8066,24,389.9490966796875,217.44554138183594
8067,24,373.859619140625,238.86297607421875
8068,24,764.9006958007812,246.20724487304688
8069,24,421.2091369628906,255.85565185546875
8070,24,779.6688842773438,257.51318359375
8071,24,403.24267578125,266.0870361328125
8072,24,267.0824279785156,269.7627868652344
8073,24,316.7804870605469,280.84710693359375
8074,24,111.42938995361328,283.039794921875
